"","station","parameter","time","value","unit","qaqc_flag_id"
"1","FRK","SpC",2021-01-01 00:00:00,717,"µS/cm","G"
"2","FRK","SpC",2021-01-01 00:15:00,727,"µS/cm","G"
"3","FRK","SpC",2021-01-01 00:30:00,730,"µS/cm","G"
"4","FRK","SpC",2021-01-01 00:45:00,731,"µS/cm","G"
"5","FRK","SpC",2021-01-01 01:00:00,722,"µS/cm","G"
"6","FRK","SpC",2021-01-01 01:15:00,719,"µS/cm","G"
"7","FRK","SpC",2021-01-01 01:30:00,718,"µS/cm","G"
"8","FRK","SpC",2021-01-01 01:45:00,710,"µS/cm","G"
"9","FRK","SpC",2021-01-01 02:00:00,719,"µS/cm","G"
"10","FRK","SpC",2021-01-01 02:15:00,713,"µS/cm","G"
"11","FRK","SpC",2021-01-01 02:30:00,714,"µS/cm","G"
"12","FRK","SpC",2021-01-01 02:45:00,709,"µS/cm","G"
"13","FRK","SpC",2021-01-01 03:00:00,712,"µS/cm","G"
"14","FRK","SpC",2021-01-01 03:15:00,726,"µS/cm","G"
"15","FRK","SpC",2021-01-01 03:30:00,719,"µS/cm","G"
"16","FRK","SpC",2021-01-01 03:45:00,717,"µS/cm","G"
"17","FRK","SpC",2021-01-01 04:00:00,708,"µS/cm","G"
"18","FRK","SpC",2021-01-01 04:15:00,703,"µS/cm","G"
"19","FRK","SpC",2021-01-01 04:30:00,711,"µS/cm","G"
"20","FRK","SpC",2021-01-01 04:45:00,717,"µS/cm","G"
"21","FRK","SpC",2021-01-01 05:00:00,726,"µS/cm","G"
"22","FRK","SpC",2021-01-01 05:15:00,748,"µS/cm","G"
"23","FRK","SpC",2021-01-01 05:30:00,753,"µS/cm","G"
"24","FRK","SpC",2021-01-01 05:45:00,766,"µS/cm","G"
"25","FRK","SpC",2021-01-01 06:00:00,773,"µS/cm","G"
"26","FRK","SpC",2021-01-01 06:15:00,783,"µS/cm","G"
"27","FRK","SpC",2021-01-01 06:30:00,794,"µS/cm","G"
"28","FRK","SpC",2021-01-01 06:45:00,821,"µS/cm","G"
"29","FRK","SpC",2021-01-01 07:00:00,832,"µS/cm","G"
"30","FRK","SpC",2021-01-01 07:15:00,839,"µS/cm","G"
"31","FRK","SpC",2021-01-01 07:30:00,850,"µS/cm","G"
"32","FRK","SpC",2021-01-01 07:45:00,850,"µS/cm","G"
"33","FRK","SpC",2021-01-01 08:00:00,874,"µS/cm","G"
"34","FRK","SpC",2021-01-01 08:15:00,871,"µS/cm","G"
"35","FRK","SpC",2021-01-01 08:30:00,847,"µS/cm","G"
"36","FRK","SpC",2021-01-01 08:45:00,766,"µS/cm","G"
"37","FRK","SpC",2021-01-01 09:00:00,735,"µS/cm","G"
"38","FRK","SpC",2021-01-01 09:15:00,731,"µS/cm","G"
"39","FRK","SpC",2021-01-01 09:30:00,721,"µS/cm","G"
"40","FRK","SpC",2021-01-01 09:45:00,729,"µS/cm","G"
"41","FRK","SpC",2021-01-01 10:00:00,720,"µS/cm","G"
"42","FRK","SpC",2021-01-01 10:15:00,699,"µS/cm","G"
"43","FRK","SpC",2021-01-01 10:30:00,681,"µS/cm","G"
"44","FRK","SpC",2021-01-01 10:45:00,673,"µS/cm","G"
"45","FRK","SpC",2021-01-01 11:00:00,667,"µS/cm","G"
"46","FRK","SpC",2021-01-01 11:15:00,664,"µS/cm","G"
"47","FRK","SpC",2021-01-01 11:30:00,667,"µS/cm","G"
"48","FRK","SpC",2021-01-01 11:45:00,659,"µS/cm","G"
"49","FRK","SpC",2021-01-01 12:00:00,666,"µS/cm","G"
"50","FRK","SpC",2021-01-01 12:15:00,665,"µS/cm","G"
"51","FRK","SpC",2021-01-01 12:30:00,668,"µS/cm","G"
"52","FRK","SpC",2021-01-01 12:45:00,673,"µS/cm","G"
"53","FRK","SpC",2021-01-01 13:00:00,686,"µS/cm","G"
"54","FRK","SpC",2021-01-01 13:15:00,705,"µS/cm","G"
"55","FRK","SpC",2021-01-01 13:30:00,739,"µS/cm","G"
"56","FRK","SpC",2021-01-01 13:45:00,765,"µS/cm","G"
"57","FRK","SpC",2021-01-01 14:00:00,792,"µS/cm","G"
