"","station","parameter","time","value","unit","qaqc_flag_id"
"1","FRK","Turbidity",2021-01-01 00:00:00,3.89,"NTU","G"
"2","FRK","Turbidity",2021-01-01 00:15:00,4.19,"NTU","G"
"3","FRK","Turbidity",2021-01-01 00:30:00,4.33,"NTU","G"
"4","FRK","Turbidity",2021-01-01 00:45:00,4.7,"NTU","G"
"5","FRK","Turbidity",2021-01-01 01:00:00,3.99,"NTU","G"
"6","FRK","Turbidity",2021-01-01 01:15:00,3.82,"NTU","G"
"7","FRK","Turbidity",2021-01-01 01:30:00,3.84,"NTU","G"
"8","FRK","Turbidity",2021-01-01 01:45:00,3.63,"NTU","G"
"9","FRK","Turbidity",2021-01-01 02:00:00,3.17,"NTU","G"
"10","FRK","Turbidity",2021-01-01 02:15:00,3.16,"NTU","G"
"11","FRK","Turbidity",2021-01-01 02:30:00,3.6,"NTU","G"
"12","FRK","Turbidity",2021-01-01 02:45:00,4.46,"NTU","G"
"13","FRK","Turbidity",2021-01-01 03:00:00,4.66,"NTU","G"
"14","FRK","Turbidity",2021-01-01 03:15:00,6.31,"NTU","G"
"15","FRK","Turbidity",2021-01-01 03:30:00,7.07,"NTU","G"
"16","FRK","Turbidity",2021-01-01 03:45:00,9.01,"NTU","G"
"17","FRK","Turbidity",2021-01-01 04:00:00,6.86,"NTU","G"
"18","FRK","Turbidity",2021-01-01 04:15:00,6.44,"NTU","G"
"19","FRK","Turbidity",2021-01-01 04:30:00,7.46,"NTU","G"
"20","FRK","Turbidity",2021-01-01 04:45:00,6.08,"NTU","G"
"21","FRK","Turbidity",2021-01-01 05:00:00,6.11,"NTU","G"
"22","FRK","Turbidity",2021-01-01 05:15:00,4.92,"NTU","G"
"23","FRK","Turbidity",2021-01-01 05:30:00,5.16,"NTU","G"
"24","FRK","Turbidity",2021-01-01 05:45:00,5.29,"NTU","G"
"25","FRK","Turbidity",2021-01-01 06:00:00,5.24,"NTU","G"
"26","FRK","Turbidity",2021-01-01 06:15:00,4.97,"NTU","G"
"27","FRK","Turbidity",2021-01-01 06:30:00,6.12,"NTU","G"
"28","FRK","Turbidity",2021-01-01 06:45:00,5.01,"NTU","G"
"29","FRK","Turbidity",2021-01-01 07:00:00,4.89,"NTU","G"
"30","FRK","Turbidity",2021-01-01 07:15:00,5.3,"NTU","G"
"31","FRK","Turbidity",2021-01-01 07:30:00,5.14,"NTU","G"
"32","FRK","Turbidity",2021-01-01 07:45:00,6.04,"NTU","G"
"33","FRK","Turbidity",2021-01-01 08:00:00,5.25,"NTU","G"
"34","FRK","Turbidity",2021-01-01 08:15:00,5.33,"NTU","G"
"35","FRK","Turbidity",2021-01-01 08:30:00,4.88,"NTU","G"
"36","FRK","Turbidity",2021-01-01 08:45:00,5.01,"NTU","G"
"37","FRK","Turbidity",2021-01-01 09:00:00,4.65,"NTU","G"
