"","station","parameter","time","value","unit","qaqc_flag_id"
"1","FRK","WaterTemperature",2021-01-01 00:00:00,9.56,"°C","G"
"2","FRK","WaterTemperature",2021-01-01 00:15:00,9.53,"°C","G"
"3","FRK","WaterTemperature",2021-01-01 00:30:00,9.49,"°C","G"
"4","FRK","WaterTemperature",2021-01-01 00:45:00,9.47,"°C","G"
"5","FRK","WaterTemperature",2021-01-01 01:00:00,9.45,"°C","G"
"6","FRK","WaterTemperature",2021-01-01 01:15:00,9.42,"°C","G"
"7","FRK","WaterTemperature",2021-01-01 01:30:00,9.4,"°C","G"
"8","FRK","WaterTemperature",2021-01-01 01:45:00,9.38,"°C","G"
"9","FRK","WaterTemperature",2021-01-01 02:00:00,9.37,"°C","G"
"10","FRK","WaterTemperature",2021-01-01 02:15:00,9.36,"°C","G"
"11","FRK","WaterTemperature",2021-01-01 02:30:00,9.35,"°C","G"
"12","FRK","WaterTemperature",2021-01-01 02:45:00,9.36,"°C","G"
"13","FRK","WaterTemperature",2021-01-01 03:00:00,9.37,"°C","G"
"14","FRK","WaterTemperature",2021-01-01 03:15:00,9.4,"°C","G"
"15","FRK","WaterTemperature",2021-01-01 03:30:00,9.43,"°C","G"
"16","FRK","WaterTemperature",2021-01-01 03:45:00,9.43,"°C","G"
"17","FRK","WaterTemperature",2021-01-01 04:00:00,9.43,"°C","G"
"18","FRK","WaterTemperature",2021-01-01 04:15:00,9.4,"°C","G"
"19","FRK","WaterTemperature",2021-01-01 04:30:00,9.37,"°C","G"
"20","FRK","WaterTemperature",2021-01-01 04:45:00,9.36,"°C","G"
"21","FRK","WaterTemperature",2021-01-01 05:00:00,9.34,"°C","G"
"22","FRK","WaterTemperature",2021-01-01 05:15:00,9.32,"°C","G"
"23","FRK","WaterTemperature",2021-01-01 05:30:00,9.31,"°C","G"
"24","FRK","WaterTemperature",2021-01-01 05:45:00,9.3,"°C","G"
"25","FRK","WaterTemperature",2021-01-01 06:00:00,9.3,"°C","G"
"26","FRK","WaterTemperature",2021-01-01 06:15:00,9.3,"°C","G"
