"","Value","Std. Error","t value","p value"
"Yearf2015",-0.03318675390379,0.141077963132431,-0.235236979375987,0.814024805766528
"Yearf2016",-0.343499344682243,0.140381973180463,-2.44689070042254,0.0144094528883116
"Yearf2017",-2.82449782596237,0.18638633111447,-15.1539965890937,7.12959704810201e-52
"Yearf2018",-1.09859479199558,0.128960310703288,-8.51885968639784,1.61131916044553e-17
"Yearf2019",-1.91963985332067,0.141760855441319,-13.541395805948,8.90800195631242e-42
"Yearf2020",-0.50621996960237,0.128423439543642,-3.94180354771094,8.08712036388622e-05
"Yearf2021",-0.799833207196562,0.134774908937879,-5.93458540242996,2.94588960051556e-09
"RegionLower Sac",0.673671300092567,0.16924905122422,3.98035495750043,6.88124404358832e-05
"RegionLower SJ",1.65464603264825,0.162489090476872,10.1831207731683,2.35873055594942e-24
"RegionNorth Delta",-0.253068283843237,0.172955256032034,-1.46320088587747,0.143412418480408
"RegionOMR/Franks",1.73149095387032,0.165304212811971,10.4745724529105,1.13047263504188e-25
"RegionSouth Delta",1.24150781252993,0.162899116501364,7.62132931837927,2.51076473405091e-14
"Absent|Low",0.795298327256205,0.177349295640842,4.48436135245104,7.31326391649179e-06
"Low|High",3.38441604120885,0.186989986324514,18.0994507124853,3.21861504236454e-73
