Terms,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
Intercept[Absent:Low],-0.991,0.564,-2.114,0.123,1.001,722.178,1024.196
Intercept[Low:High],3.482,0.580,2.365,4.628,1.001,740.095,1237.048
Water Temperature,1.232,0.113,1.016,1.458,1.000,1311.701,1437.717
Project Exports,-0.837,0.172,-1.168,-0.508,1.001,1774.753,1483.487
Secchi Depth,0.573,0.069,0.442,0.705,1.000,2604.010,1669.425
Year,1.538,0.472,0.899,2.700,1.001,710.253,1185.746
Day of Year,1.822,0.171,1.504,2.171,1.005,611.892,988.096
